window,model,set_a,set_b,metric,mean_diff,ci_lower,ci_upper,prob_gt_zero,n_units
w4,lgbm,F3,F4,auprc,-0.0023538973932445196,-0.00683459575757508,0.002867794807068358,0.1678,5
w4,lgbm,F3,F4,auroc,-0.0016259816066651611,-0.005833017390812101,0.0015287828154620041,0.2174,5
w4,lgbm,F3,F4,f1,-0.0007804728693241892,-0.006016634443645108,0.0041098090472788005,0.381,5
w4,lgbm,F3,F4,recall,-0.007169031750470778,-0.022825541984335583,0.007480149487460275,0.1926,5
w4,lr,F3,F4,auprc,0.0004910565297563896,-0.00024056157777265774,0.001139293199239677,0.9002,5
w4,lr,F3,F4,auroc,0.00010906126526752936,-0.0002147511584211559,0.0004331936564063277,0.7124,5
w4,lr,F3,F4,f1,-0.0016321394130111911,-0.002247275541053695,-0.0009613562296120648,0.0,5
w4,lr,F3,F4,recall,-0.00028964904380215375,-0.00429247520736864,0.003713177119764333,0.4384,5
w4,lgbm,F1,F3,auprc,0.016660124760464606,0.0024595009363364007,0.03807018222939272,1.0,5
w4,lgbm,F1,F3,auroc,0.008496536888163231,0.0008388080433805456,0.018623402801750698,0.9924,5
w4,lgbm,F1,F3,f1,0.005228529428800965,-0.0024314583841176353,0.015501595439133552,0.8482,5
w4,lgbm,F1,F3,recall,-0.009711621602364084,-0.04173782228134966,0.023600901058204816,0.3412,5
w4,lr,F1,F3,auprc,0.011143892498389879,0.004684011511523134,0.01765326136951372,1.0,5
w4,lr,F1,F3,auroc,0.0067579379431219385,0.00015953156655601486,0.016278861549028623,0.9794,5
w4,lr,F1,F3,f1,0.010741410126345007,0.0036982635165872637,0.021073429421055046,1.0,5
w4,lr,F1,F3,recall,-0.0025297265210063257,-0.06500591672131087,0.08458186955643356,0.429,5
