auprc,auroc,f1,recall,window,feature_set,model,fold,n_train,n_test
0.42117063682945066,0.7240055827712318,0.44660194174757284,0.583984375,w4,F0,xgboost,1,22122,5416
0.3939585072963593,0.6946699223756152,0.42316551497203025,0.5877513711151737,w4,F0,xgboost,2,22136,5402
0.39808514443644416,0.7092206752510443,0.44880174291938996,0.6843853820598007,w4,F0,xgboost,3,21904,5634
0.20453713922196137,0.6011259923571071,0.2808539026017345,0.5171990171990172,w4,F0,xgboost,4,21826,5712
0.37586318219566145,0.7113607974269138,0.4244031830238727,0.5755395683453237,w4,F0,xgboost,5,22164,5374
0.4183553619303168,0.7245218801585268,0.44783904619970194,0.5869140625,w4,F1,xgboost,1,22122,5416
0.3891143520383743,0.6921912211284987,0.41493227618103734,0.5740402193784278,w4,F1,xgboost,2,22136,5402
0.40011174897073976,0.7095734309262578,0.45052515201768933,0.6769102990033222,w4,F1,xgboost,3,21904,5634
0.20977669226014928,0.5939989044317342,0.2776735459662289,0.45454545454545453,w4,F1,xgboost,4,21826,5712
0.33401352056070277,0.6853541414604221,0.3892959541255177,0.6279547790339157,w4,F1,xgboost,5,22164,5374
0.43521399217805085,0.728699397519638,0.45204460966542753,0.59375,w4,F2,xgboost,1,22122,5416
0.3995446877307445,0.6947825906141205,0.42223692918596956,0.583180987202925,w4,F2,xgboost,2,22136,5402
0.40462860591377997,0.7135247069587455,0.44982512779122946,0.6943521594684385,w4,F2,xgboost,3,21904,5634
0.2054845346441257,0.6036741667611412,0.287893864013267,0.5331695331695332,w4,F2,xgboost,4,21826,5712
0.37089020885905827,0.7133345616816509,0.4244712990936556,0.5775950668036999,w4,F2,xgboost,5,22164,5374
0.42951268964439365,0.7265305927325251,0.45114503816793894,0.5771484375,w4,F3,xgboost,1,22122,5416
0.3977783363746895,0.6937053464580161,0.42013422818791946,0.5722120658135283,w4,F3,xgboost,2,22136,5402
0.3983919761112955,0.7113431151241536,0.4462279293739968,0.6926910299003323,w4,F3,xgboost,3,21904,5634
0.20983067710829667,0.6033507383548217,0.2767732962447844,0.48894348894348894,w4,F3,xgboost,4,21826,5712
0.38615703413585745,0.7132355465320994,0.42290076335877863,0.5693730729701952,w4,F3,xgboost,5,22164,5374
0.4296099598807743,0.7205290247182378,0.4452887537993921,0.572265625,w4,F4,xgboost,1,22122,5416
0.39647491622663816,0.6927522283273838,0.4195421933720533,0.5612431444241316,w4,F4,xgboost,2,22136,5402
0.4087859429317415,0.713287911626407,0.4507269789983845,0.6951827242524917,w4,F4,xgboost,3,21904,5634
0.2130430635646059,0.607373841602098,0.2897800776196636,0.5503685503685504,w4,F4,xgboost,4,21826,5712
0.3812376354520118,0.7127077771028868,0.4243827160493827,0.5652620760534429,w4,F4,xgboost,5,22164,5374
