auprc,auroc,f1,recall,window,feature_set,model,fold,n_train,n_test
0.40642102919696776,0.7223698345100785,0.4405784003615002,0.8312020460358056,w2,F0,lr,1,22601,5518
0.3491860259007853,0.668912072664812,0.40811383590675143,0.5855777584708949,w2,F0,lr,2,22613,5506
0.3637005825640953,0.680496623195156,0.43622047244094486,0.6925,w2,F0,lr,3,22625,5494
0.26786858514463535,0.6295465526566565,0.3364770307271068,0.5395121951219513,w2,F0,lr,4,22359,5760
0.3216549250219879,0.6612554310328752,0.38437608019357067,0.48729184925503943,w2,F0,lr,5,22278,5841
0.38520271168888165,0.7041331767609731,0.4375,0.6982097186700768,w2,F0,lgbm,1,22601,5518
0.35265371816223123,0.6583100004887678,0.3987034035656402,0.5343179843614249,w2,F0,lgbm,2,22613,5506
0.35943388635112944,0.665256753609688,0.4202516827626573,0.5983333333333334,w2,F0,lgbm,3,22625,5494
0.27024126027135775,0.6322309732917815,0.31702216645754916,0.3697560975609756,w2,F0,lgbm,4,22359,5760
0.33516599826823024,0.6537705819829563,0.38027162258756253,0.4662576687116564,w2,F0,lgbm,5,22278,5841
0.40710191846893573,0.7224875580892287,0.441470054446461,0.8294970161977835,w2,F1,lr,1,22601,5518
0.3488657382819875,0.6683075965490997,0.4039794995477841,0.5821025195482189,w2,F1,lr,2,22613,5506
0.3637005825640953,0.680496623195156,0.43622047244094486,0.6925,w2,F1,lr,3,22625,5494
0.26706372999371647,0.62928714554305,0.3393790347371657,0.5385365853658537,w2,F1,lr,4,22359,5760
0.3200541746213728,0.6602954668357358,0.38474750944692543,0.49079754601226994,w2,F1,lr,5,22278,5841
0.38653128236833145,0.7066279356091263,0.43779777660137636,0.7050298380221653,w2,F1,lgbm,1,22601,5518
0.35588744467583,0.6587700407273265,0.3993333333333333,0.5204170286707211,w2,F1,lgbm,2,22613,5506
0.35943388635112944,0.665256753609688,0.4202516827626573,0.5983333333333334,w2,F1,lgbm,3,22625,5494
0.2681420226942478,0.6336023900893708,0.32484848484848483,0.3921951219512195,w2,F1,lgbm,4,22359,5760
0.3235002310485368,0.6517288865683333,0.37642045454545453,0.4645048203330412,w2,F1,lgbm,5,22278,5841
0.40987008621317705,0.7243040329155127,0.4445961319681456,0.8329070758738278,w2,F2,lr,1,22601,5518
0.3508642403455019,0.6706113886891147,0.41268882175226584,0.5933970460469157,w2,F2,lr,2,22613,5506
0.36789461085932074,0.6828017776742742,0.4357010826511751,0.6875,w2,F2,lr,3,22625,5494
0.2687015659063707,0.6302056816133104,0.3409576090271424,0.5453658536585366,w2,F2,lr,4,22359,5760
0.3234360428598496,0.6622129710780018,0.3857240905971174,0.4925503943908852,w2,F2,lr,5,22278,5841
0.4007089697380611,0.710653983913073,0.44377729257641924,0.6930946291560103,w2,F2,lgbm,1,22601,5518
0.3507755445695223,0.6615340726029679,0.40100407907122687,0.5551694178974804,w2,F2,lgbm,2,22613,5506
0.3587353705261188,0.665467609843192,0.4271047227926078,0.6066666666666667,w2,F2,lgbm,3,22625,5494
0.27380860926277895,0.6331518788471939,0.33253588516746413,0.4068292682926829,w2,F2,lgbm,4,22359,5760
0.3384991342813176,0.6603041378410129,0.3775977456851004,0.4697633654688869,w2,F2,lgbm,5,22278,5841
0.4099257599261694,0.7246273803462446,0.44505494505494503,0.8286445012787724,w2,F3,lr,1,22601,5518
0.35039337512876123,0.6702074071266337,0.4091181763647271,0.5925282363162467,w2,F3,lr,2,22613,5506
0.3686372142596157,0.6825766573513429,0.43915343915343913,0.6916666666666667,w2,F3,lr,3,22625,5494
0.2654910689868438,0.6291146882324156,0.33520950594121324,0.5229268292682927,w2,F3,lr,4,22359,5760
0.32191548432031714,0.6605018927033024,0.3797031411805316,0.4820333041191937,w2,F3,lr,5,22278,5841
0.3930561672522082,0.7066661957723501,0.4412751677852349,0.6726342710997443,w2,F3,lgbm,1,22601,5518
0.3534899741889441,0.6593559636157247,0.4076015727391874,0.5403996524761078,w2,F3,lgbm,2,22613,5506
0.3595002760205818,0.663648501785437,0.41852286049237986,0.595,w2,F3,lgbm,3,22625,5494
0.27166569179603395,0.6318512375408865,0.32178868917141606,0.35804878048780486,w2,F3,lgbm,4,22359,5760
0.32679913277509254,0.6549217744792735,0.37336167198016296,0.4618755477651183,w2,F3,lgbm,5,22278,5841
0.4094338024075429,0.7244531494491027,0.44571428571428573,0.8312020460358056,w2,F4,lr,1,22601,5518
0.35019616150232497,0.6700837189445409,0.4076853797658361,0.5899218071242398,w2,F4,lr,2,22613,5506
0.35867031259510457,0.679555096258345,0.4395373291272345,0.6966666666666667,w2,F4,lr,3,22625,5494
0.2647227104897615,0.6285938135833312,0.3346862316578208,0.5229268292682927,w2,F4,lr,4,22359,5760
0.3219119357812877,0.6604996550245213,0.3797031411805316,0.4820333041191937,w2,F4,lr,5,22278,5841
0.38782842555895747,0.7048292174226974,0.43503572373643823,0.7007672634271099,w2,F4,lgbm,1,22601,5518
