split_scheme,model,feature_group,train_n,test_n,train_dropout_rate,test_dropout_rate,n_features_raw,n_numeric_features,n_categorical_features,AUPRC,AUPRC_CI95_low,AUPRC_CI95_high,AUROC,Precision@0.5,Recall@0.5,F1@0.5,BalancedAcc@0.5,variant
latest_presentation_holdout,logreg,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8416082845743826,0.8322647881812582,0.8511236847256992,0.8561164699960806,0.8210492436433859,0.6667537898588605,0.7359007644598298,0.7959811456692742,baseline_orig_json
latest_presentation_holdout,logreg,F3,21333,11260,0.296723386302911,0.3397868561278863,38,32,6,0.8405623121208176,0.8312363197918646,0.8500097973219808,0.8551943986326932,0.8312334217506632,0.6552535284892839,0.732826658871675,0.7933921664507221,baseline_orig_json
latest_presentation_holdout,logreg,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8400765845752811,0.8309073230440495,0.8491576116534004,0.8534291168099101,0.8208955223880597,0.6612650287506534,0.732484076433121,0.7935057992825099,baseline_orig_json
latest_presentation_holdout,logreg,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,40,34,6,0.8399160155496194,0.8304231045037768,0.8497773163974331,0.8545930446862517,0.8421949556918882,0.6458442237323575,0.7310650887573964,0.7917814069966603,baseline_orig_json
latest_presentation_holdout,logreg,F4_all,21333,11260,0.296723386302911,0.3397868561278863,42,36,6,0.8395342367681937,0.8299866173571719,0.8488173878062049,0.852533379292751,0.8259162303664922,0.6596968112911658,0.7335077012496367,0.7940668613894624,baseline_orig_json
latest_presentation_holdout,logreg,F1,21333,11260,0.296723386302911,0.3397868561278863,22,16,6,0.8383473873554225,0.8285318367733181,0.8479542211762638,0.8537666400726462,0.830270631473438,0.6495033978044955,0.7288458718287139,0.7905843596501627,baseline_orig_json
latest_presentation_holdout,xgboost,F4_behavioral_only,21333,11260,0.296723386302911,0.3397868561278863,40,34,6,0.8322057450005911,0.8219940262924839,0.8409165762344768,0.8461847776727237,0.829879679144385,0.648980658651333,0.7283660897623937,0.7902557315317467,baseline_orig_json
latest_presentation_holdout,xgboost,F4_all,21333,11260,0.296723386302911,0.3397868561278863,42,36,6,0.8291470669303747,0.8185323559608476,0.8375905790566504,0.8431204531924849,0.8112528622832843,0.6481965499215891,0.720616010460555,0.7852900963221074,baseline_orig_json
latest_presentation_holdout,xgboost,F4_delta_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8288790810744888,0.8184552010929006,0.8376228640174226,0.8430031287000108,0.8159203980099502,0.6429691583899634,0.7191931004239146,0.7841560884766605,baseline_orig_json
latest_presentation_holdout,xgboost,F4_structural_only,21333,11260,0.296723386302911,0.3397868561278863,39,33,6,0.8279771889953127,0.8167908675128775,0.8366070447825069,0.8421753177394773,0.8011583011583011,0.650810245687402,0.7182001730602827,0.7838393439897866,baseline_orig_json
